motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
Pdx1	0.2828652661601376	15.378196838708066	0.4028652661601376	0.022188175739074	6.0	198552
Phox2b	0.1554772688951423	29.02393126100909	0.2754772688951423	0.0730370588500857	11.0	198552
Pitx1	0.3003353924886986	9.610565248868191	0.3703353924886987	0.0156382085905052	8.0	198552
Plagl1	0.2532240921479017	13.112901976004386	0.3232240921479017	0.0549908066636607	8.0	198552
Pou2f3	0.2547872200998561	14.28169855250274	0.3247872200998561	0.0247368149527923	16.0	198552
Pou5f1::Sox2	0.2650180829361916	9.41959178488277	0.3150180829361916	0.0067011790454676	15.0	198552
Ppara	0.3835795060184315	0.0653378869853061	0.3935795060184315	0.0502839001912306	7.0	198552
Pparg::Rxra	0.2530069871052756	3.694937279584724	0.2830069871052756	0.0367279629468896	13.0	198552
Prdm14	0.3552309079736278	0.0848226066658071	0.3652309079736278	0.0586140234467598	8.0	198552
Prdm15	0.2997468239053364	1.7737719853566838	0.3197468239053365	0.005790854366877	11.0	198552
Prdm4	0.3125451790831947	0.9717335816311062	0.3325451790831947	0.0983641183466443	11.0	198552
Prdm5	0.3191679502693696	0.5568087407639649	0.3291679502693696	0.0183780943796116	11.0	198552
Prrx2	0.2013214175124995	29.58103463145007	0.3713214175124995	0.0309430068961991	8.0	198552
Ptf1A	0.3366714393079092	2.2165006564207195	0.3666714393079092	0.0072095660493719	8.0	198552
Ptf1a	0.3249298985079405	1.7825157067473114	0.3449298985079405	0.0574926231214064	9.0	198552
Rarb	0.2371358824496437	2.359513802186249	0.2571358824496437	0.1024188150283873	17.0	198552
Rarg	0.2563100361897996	0.5904639894545405	0.2663100361897996	0.0039225041399969	15.0	198552
Rfx1	0.2338297265938479	7.017139869147214	0.2738297265938479	0.1478747671413669	14.0	198552
Rfx6	0.3179495117593868	0.6279570722350276	0.3279495117593868	0.0498528313767498	9.0	198552
Rhox11	0.3424913758326756	2.8089663142219887	0.3824913758326756	0.0599338508932833	9.0	198552
Runx1	0.3607051646329454	4.4232294319235095	0.4107051646329454	0.0205761114148502	9.0	198552
Rxra	0.250263353270325	1.7766778269620165	0.270263353270325	0.1476259457215062	14.0	198552
SOX10	0.4184895514217517	0.6853877446637918	0.4384895514217518	0.0028860771319346	6.0	198552
SP1	0.2358564138702722	13.705368538406336	0.3058564138702723	0.0006964854771776	9.0	198552
Shox2	0.1893436003001807	29.835597031292718	0.3993436003001807	0.0453681655979027	6.0	198552
Six3	0.2849192504050145	3.5174799231429867	0.3149192504050144	0.0040890648553947	11.0	198552
Six4	0.4024916914876267	0.0053047789478654	0.4024916914876267	0.0053047789478654	6.0	198552
Smad4	0.3693611758091809	0.1097339764879653	0.3793611758091809	0.0171031801352074	7.0	198552
Sox1	0.2573051174919511	3.7492827263440582	0.2773051174919511	0.1427664267016469	15.0	198552
Sox11	0.3504537267082565	1.730326223048382	0.3804537267082565	0.0127042832515688	8.0	198552
Sox17	0.3144966641578515	5.309904633212504	0.3644966641578515	0.0721952816558607	10.0	198552
Sox2	0.3676633123733656	0.0500332178764337	0.3676633123733656	0.0500332178764337	8.0	198552
Sox3	0.3379241807289659	6.243720098583165	0.3979241807289659	0.0077499127755788	7.0	198552
Sox5	0.3349279423381263	1.7535188033471951	0.3649279423381263	0.0601596780328574	8.0	198552
Sox6	0.3061257191917886	8.393815102645279	0.3561257191917886	0.0414574129601589	10.0	198552
Sox7	0.3061347247281894	6.911173575935616	0.3561347247281894	0.0200828693496394	10.0	198552
Spi1	0.2798332496522148	3.670878999487359	0.3098332496522148	0.0069126140369705	13.0	198552
Spz1	0.3115399331514259	1.6251557293833736	0.3315399331514259	0.004122818616186	11.0	198552
Srebf1	0.2591762298885255	3.4932098911047422	0.2891762298885255	0.0115675611272994	10.0	198552
Stat2	0.2957136005510241	4.584033651777522	0.3357136005510241	0.0039915530265597	10.0	198552
Stat3	0.2800233554750537	2.932607203277694	0.3100233554750536	0.060744959329554	10.0	198552
Stat4	0.2903198956944957	6.5619776416729625	0.3403198956944957	0.0335623028202422	10.0	198552
Stat5a	0.3116938036533902	2.25134695029507	0.3416938036533902	0.0483962329735033	9.0	198552
Stat5a::Stat5b	0.2968304829386343	5.092390904271904	0.3368304829386342	0.0011429502556673	9.0	198552
Stat5b	0.3076452140847061	2.094732397819385	0.337645214084706	0.064536615266313	9.0	198552
Stat6	0.2357567244603709	13.214993692086574	0.2957567244603709	0.0653157274755696	10.0	198552
Tbx6	0.3501389361018749	0.7535220509193071	0.370138936101875	0.0240629120414895	9.0	198552
Tbxt	0.3296831172122371	0.1462261272291177	0.3396831172122371	0.0784983046748631	11.0	198552
Tcf12	0.3112814530660777	2.580584211235583	0.3412814530660777	0.0163739630715881	6.0	198552
Tcf21	0.2854739932217121	2.6741955406928475	0.3054739932217121	0.1060686815816105	10.0	198552
Tcf3	0.2963769907855679	4.262748236603734	0.3263769907855679	0.0878300621110029	10.0	198552
Tcf7	0.2937366900549056	3.522503012779408	0.3237366900549056	0.0013087836627876	12.0	198552
Tcfl5	0.183625453265277	16.992567143470495	0.2536254532652771	0.0416227490597374	8.0	198552
Tfcp2l1	0.1932918661401197	16.676535854474228	0.2532918661401197	0.0012325933395304	14.0	198552
Thap11	0.2727542857994416	0.5974070038501051	0.2827542857994417	1.2038826011744573e-05	14.0	198552
Twist2	0.2797702784544284	4.467689729276574	0.3197702784544284	0.0015213340436542	6.0	198552
Vdr	0.3725309254366165	0.3606495903929119	0.3825309254366165	0.0175248280124188	7.0	198552
Wt1	0.2545013252756855	10.30439360042092	0.3145013252756855	0.0364363790341579	10.0	198552
Yy1	0.3631151453282127	1.242548360629897	0.3831151453282128	0.0208523881923394	8.0	198552
Zbtb2	0.2838670597679049	4.540487881321941	0.3138670597679048	0.0893732918392498	10.0	198552
Zfp335	0.3684888019180825	4.5788083420019605	0.4184888019180824	0.0120807074052482	7.0	198552
Zfp809	0.3251689700261184	1.6430181865343407	0.3451689700261184	0.0346215295774345	9.0	198552
Zfp961	0.2408406698231075	13.17838983609089	0.3108406698231075	0.0592885972567291	8.0	198552
Zfx	0.2764471558082724	7.69974328779443	0.3264471558082724	0.0017713370989882	10.0	198552
Zic1::Zic2	0.3035914991621743	6.693475837105369	0.3535914991621743	0.0360156382605015	7.0	198552
Zic2	0.3019931698402849	5.665985906272826	0.3419931698402849	0.0150268342263454	9.0	198552
Zic3	0.3187006421535031	4.771782179328449	0.358700642153503	0.042649725034417	7.0	198552
Znf281	0.2703305821105735	7.412662018719781	0.3203305821105734	0.0471571456512698	11.0	198552
